user_id,ou_id,ou_title,user_tenure_months,user_employment_status_id,manager_id,training_object_id,training_title,training_type,progress_percent,is_overdue,is_completed,transcript_status_id,assigned_dt,due_dt,completed_dt,reg_num
1,139,New Users,N,N,N,0ace522b-e0c6-4319-8dd9-b1bf2bc1cd27,0ace522b-e0c6-4319-8dd9-b1bf2bc1cd27,CRSE,,0,0,16,2025-08-26 00:07:19.317+05:30,N,N,1
1,139,New Users,N,N,N,c6f955b2-8099-4012-b4ac-b2625c4adc51,C6F955B2-8099-4012-B4AC-B2625C4ADC51,EVNT,,0,0,2097152,2025-03-04 15:35:33.667+05:30,N,N,1
1,139,New Users,N,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:17:42.91+05:30,2025-05-02 23:59:00+05:30,N,1
1,139,New Users,N,N,N,c9e78300-0f2b-43d2-b4f4-db16606971de,c9e78300-0f2b-43d2-b4f4-db16606971de,CRSE,0.0,0,0,32,2025-11-09 16:11:56.203+05:30,N,N,1
1,139,New Users,N,N,N,363b4d8d-4488-473a-a1c9-fed9df509435,363b4d8d-4488-473a-a1c9-fed9df509435,CRSE,0.0,0,0,32,2025-11-11 23:33:04.243+05:30,N,N,1
2,139,New Users,N,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:03:51.09+05:30,2026-02-21 13:29:00+05:30,N,1
2,139,New Users,N,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:10:27.63+05:30,2026-02-21 13:29:00+05:30,N,1
2,139,New Users,N,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:10:31.597+05:30,2026-02-21 13:29:00+05:30,N,1
2,139,New Users,N,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:05:43.613+05:30,2026-02-21 13:29:00+05:30,N,1
2,139,New Users,N,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:09:11.747+05:30,2026-04-30 12:29:00+05:30,N,1
